feature,importance_mean,importance_std
DrivAge,10.811431360171605,1.0639199750111052
VehBrand,5.466639550402135,0.6742092651538777
VehPower,1.1431807821548206,0.8228170442973117
Region,0.5703027845218003,0.6769340582022622
VehAge,0.5111370646400928,0.770739607145038
VehGas,-0.2876516612803357,0.21360619315607096
Density,-0.4158913259801807,0.09203961365967399
BonusMalus,-3.0895049675578434,1.1209051603346842
Area,-4.040149700836105,0.72028661551451
Exposure,-11.89585126983136,1.6515648084007402
